API Well Number,Production Information,Formation Tops,Casing and Cementing,Hole Number,Well Name,Company Name,Well Type,Well Status,Objective Formation,Producing Formation,County,Town,Map Quadrangle,Quad Section Code,Field,Status Date,Permit Application Date,Permit Issued Date,Spud/Start Drilling Date,Total Depth Date,Well Completion Date,Plugging & Abandonment Date,Confidential Expiration Date,Confid. Period Type,Subject to Financial Security,Well Orientation,NYSDEC Region,State Lease,Proposed Total Depth,Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,True Vertical Depth,Bottom Hole Total Measured Depth,Kickoff Depth,Drilled Depth,Proposed Well Type,Spacing,Spacing Acres,Integration,Hearing Date,Last Modified Date
31-003-21881-00-00 ,Yes,Yes,No,21881,Windus; M 1,Vandermark Exploration Inc.,Gas Development,Plugged and Abandoned,Oriskany,Oriskany,Allegany,Amity,Belmont,F,Gordon Brook,7/16/1991,5/21/1990,6/13/1990,6/18/1990,6/24/1990,6/24/1990,7/16/1991,6/18/1992,Released,0,Vertical,9,NA,3990,-78.0022,42.18929,-78.0022,42.18929,3818,3818,0,3818,Not Listed,,,,,1/16/2003
31-003-21882-00-00 ,No,Yes,No,21882,Maybee; C 2,Vandermark Exploration Inc.,Dry Hole,Plugged and Abandoned,Oriskany,Not Applicable,Allegany,Scio,Wellsville North,D,Gordon Brook,7/10/1990,5/29/1990,6/13/1990,6/13/1990,7/9/1990,7/10/1990,7/10/1990,6/13/1992,Released,0,Vertical,9,NA,3980,-77.98533,42.17501,-77.98533,42.17501,3799,3799,0,3799,Not Listed,,,,,
31-003-21892-00-00 ,Yes,Yes,Yes,21892,Phillips; A 2,Ardent Resources Inc.,Gas Wildcat,Plugged and Abandoned,Oriskany,Onondaga,Allegany,Genesee,Portville,E,Sherry Hill,4/15/1999,7/5/1990,7/11/1990,7/19/1990,7/26/1990,8/26/1990,4/15/1999,7/19/1992,Released,0,Vertical,9,NA,4500,-78.30385,42.04225,-78.30385,42.04225,4787,4787,0,4787,Not Listed,,,,,2/10/2015
31-003-21893-00-00 ,Yes,Yes,No,21893,C & A Clarke 3,The Richardson Petroleum Corporation,Oil Development,Inactive,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,C,Beech Hill-Independence,12/31/2024,7/2/1990,7/23/1990,8/17/1990,9/4/1990,9/14/1990,,2/17/1991,Released,1,Vertical,9,NA,1850,-77.76982,42.08863,-77.76982,42.08863,1815,1815,0,1815,Not Listed,,,,,8/19/2025
31-003-21898-00-00 ,Yes,Yes,No,21898,C & A Clarke 5,The Richardson Petroleum Corporation,Oil Development,Inactive,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,C,Beech Hill-Independence,12/31/2024,7/16/1990,7/30/1990,8/30/1990,9/6/1990,9/20/1990,,3/1/1991,Released,1,Vertical,9,NA,1850,-77.76803,42.08849,-77.76803,42.08849,1816,1816,0,1816,Not Listed,,,,,8/19/2025
31-003-21913-00-00 ,Yes,Yes,No,21913,Grantier 9,Sam Koehler Enterprises Inc.,Oil Development,Active,Richburg,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/21/1990,9/4/1990,9/10/1990,9/14/1990,9/24/1990,,3/10/1991,Released,1,Vertical,9,NA,1800,-77.768077,42.057269,-77.768077,42.057269,1880,1880,0,1880,Not Listed,,,,,10/16/2020
31-003-21914-00-00 ,Yes,Yes,No,21914,Grantier 10,Sam Koehler Enterprises Inc.,Oil Development,Active,Richburg,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/21/1990,9/4/1990,10/3/1990,10/8/1990,10/15/1990,,4/3/1991,Released,1,Vertical,9,NA,1800,-77.77,42.05835,-77.77,42.05835,1874,1874,0,1874,Not Listed,,,,,10/16/2020
31-003-21951-00-00 ,Yes,Yes,No,21951,Mulkin 223,Simon of Bolivar Enterprises Inc.,Oil Development,Active,Richburg,Richburg,Allegany,Bolivar,Bolivar,I,Richburg,,9/27/1990,10/10/1990,10/11/1990,10/16/1990,11/1/1990,,10/11/1992,Released,1,Vertical,9,NA,2000,-78.14058,42.01946,-78.14058,42.01946,1957,1957,0,1957,Not Listed,,,,,12/13/2019
31-003-21997-00-00 ,Yes,Yes,Yes,21997,Friar; J 1,PPP Future Development Inc.,Gas Wildcat,Active,Oriskany,Onondaga,Allegany,Genesee,Portville,F,Richburg,,11/9/1990,11/28/1990,12/8/1990,12/18/1990,12/31/1990,,12/8/1992,Released,1,Vertical,9,NA,4950,-78.27089,42.05689,-78.27089,42.05689,4950,4950,0,4950,Not Listed,,,,,7/8/2025
31-003-22002-00-00 ,Yes,Yes,Yes,22002,Fee 1,Greene Oil Co.,Oil Development,Plugged and Abandoned,Richburg,Richburg,Allegany,Bolivar,Bolivar,C,Richburg,12/5/2003,10/17/1990,12/3/1990,12/5/1990,3/11/1991,3/15/1991,12/5/2003,6/5/1991,Released,0,Vertical,9,NA,920,-78.15875,42.08656,-78.15875,42.08656,898,898,0,898,Not Listed,,,,,1/5/2004
31-003-22100-00-00 ,Yes,Yes,No,22100,Realty; K 1,East Resources Inc.,Dry Wildcat,Plugged and Abandoned,Onondaga,Fulmer Valley,Allegany,Independence,Whitesville,H,Beech Hill-Independence,6/25/1992,4/23/1991,6/19/1991,7/13/1991,7/21/1991,7/21/1991,6/25/1992,1/13/1992,Released,0,Vertical,9,NA,5162,-77.81014,42.02083,-77.81014,42.02083,4910,4910,0,4910,Not Listed,,,,,1/16/2003
31-003-22109-00-00 ,Yes,Yes,No,22109,Tullar-Fanton 4,PPP Future Development Inc.,Oil Development,Active,Waugh & Porter,Fulmer Valley,Allegany,Wellsville,Whitesville,A,Fulmer Valley,,7/16/1991,7/24/1991,8/5/1991,8/8/1991,9/24/1991,,2/5/1992,Released,1,Vertical,9,NA,1500,-77.85833,42.09894,-77.85833,42.09894,1475,1475,0,1475,Not Listed,,,,,11/21/2024
31-003-22110-00-00 ,Yes,Yes,No,22110,Perry 2a,PPP Future Development Inc.,Oil Development,Active,Fulmer Valley,Penny & Fulmer Valley,Allegany,Andover,Whitesville,B,Fulmer Valley,,7/16/1991,7/24/1991,7/31/1991,8/3/1991,10/14/1991,,1/31/1992,Released,1,Vertical,9,NA,1500,-77.82904,42.11764,-77.82904,42.11764,1450,1450,0,1450,Not Listed,,,,,11/20/2024
31-003-22126-00-00 ,Yes,Yes,Yes,22126,Dunning 1,PPP Future Development Inc.,Gas Wildcat,Active,Onondaga,Onondaga,Allegany,Genesee,Bolivar,D,Not Applicable,,7/24/1991,9/11/1991,10/20/1991,10/29/1991,11/13/1991,,4/18/1992,Released,1,Vertical,9,NA,4950,-78.23841,42.07696,-78.23841,42.07696,4761,4761,0,4761,Not Listed,,,,,7/8/2025
31-003-22176-00-00 ,Yes,Yes,No,22176,Stillman 20,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,2/20/1992,2/26/1992,3/4/1992,3/6/1992,4/17/1992,,9/4/1992,Released,1,Vertical,9,NA,1200,-77.75091,42.07522,-77.75091,42.07522,1250,1250,0,1250,Not Listed,,,,,1/4/2022
31-003-22177-00-00 ,Yes,Yes,No,22177,Stillman 21,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,2/20/1992,2/26/1992,3/6/1992,3/8/1992,4/21/1992,,9/6/1992,Released,1,Vertical,9,NA,1200,-77.75006,42.07522,-77.75006,42.07522,1220,1220,0,1220,Not Listed,,,,,1/4/2022
31-003-22178-00-00 ,Yes,Yes,No,22178,Stillman 25,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,2/20/1992,2/27/1992,3/22/1992,3/24/1992,5/5/1992,,9/21/1992,Released,1,Vertical,9,NA,1200,-77.75114,42.07392,-77.75114,42.07392,1250,1250,0,1250,Not Listed,,,,,1/4/2022
31-003-22179-00-00 ,Yes,Yes,No,22179,Stillman 26,The Richardson Petroleum Corporation,Oil Development,Plugged and Abandoned,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,5/31/2023,2/20/1992,2/27/1992,3/10/1992,3/11/1992,4/27/1992,5/31/2023,9/10/1992,Released,1,Vertical,9,NA,1200,-77.75014,42.07381,-77.75014,42.07381,1220,1220,0,1220,Not Listed,,,,,6/6/2023
31-003-22180-00-00 ,Yes,Yes,No,22180,Stillman 28,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,2/27/1992,3/30/1992,4/2/1992,5/7/1992,,9/30/1992,Released,1,Vertical,9,NA,1200,-77.74706,42.07393,-77.74706,42.07393,1230,1230,0,1230,Not Listed,,,,,1/4/2022
31-003-22181-00-00 ,Yes,Yes,No,22181,Stillman 29,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,2/20/1992,2/27/1992,3/15/1992,3/17/1992,5/15/1992,,9/12/1992,Released,1,Vertical,9,NA,1200,-77.75018,42.07283,-77.75018,42.07283,1220,1220,0,1220,Not Listed,,,,,3/1/2022
31-003-22182-00-00 ,Yes,Yes,No,22182,Stillman 32,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,5/2/1992,5/4/1992,6/5/1992,,11/2/1992,Released,1,Vertical,9,NA,1200,-77.74711,42.07178,-77.74711,42.07178,1201,1201,0,1201,Not Listed,,,,,1/4/2022
31-003-22183-00-00 ,Yes,Yes,No,22183,Stillman 31,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,3/25/1992,3/27/1992,5/18/1992,,,Pre-1989 Well (N/A),1,Vertical,9,NA,1200,-77.74692,42.07287,-77.74692,42.07287,1225,1225,0,1225,Not Listed,,,,,1/4/2022
31-003-22184-00-00 ,Yes,Yes,No,22184,Stillman 30,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,3/18/1992,3/19/1992,5/15/1992,,9/18/1992,Released,1,Vertical,9,NA,1200,-77.74924,42.0728,-77.74924,42.0728,1210,1210,0,1210,Not Listed,,,,,1/4/2022
31-003-22185-00-00 ,Yes,Yes,No,22185,Stillman 27,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,3/20/1992,3/22/1992,5/2/1992,,9/19/1992,Released,1,Vertical,9,NA,1200,-77.74924,42.07391,-77.74924,42.07391,1210,1210,0,1210,Not Listed,,,,,1/4/2022
31-003-22186-00-00 ,Yes,Yes,No,22186,Stillman 24,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,4/2/1992,4/4/1992,5/8/1992,,10/2/1992,Released,1,Vertical,9,NA,1200,-77.747,42.07512,-77.747,42.07512,1220,1220,0,1220,Not Listed,,,,,1/4/2022
31-003-22187-00-00 ,Yes,Yes,No,22187,Stillman 23,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,4/5/1992,4/21/1992,6/2/1992,,10/5/1992,Released,1,Vertical,9,NA,1200,-77.74784,42.07522,-77.74784,42.07522,1195,1195,0,1195,Not Listed,,,,,1/4/2022
31-003-22188-00-00 ,Yes,Yes,No,22188,Stillman 22,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,3/8/1992,3/10/1992,4/23/1992,,9/8/1992,Released,1,Vertical,9,NA,1200,-77.74908,42.07522,-77.74908,42.07522,1180,1180,0,1180,Not Listed,,,,,1/4/2022
31-003-22189-00-00 ,Yes,Yes,No,22189,Stillman 33,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,2/20/1992,3/2/1992,5/4/1992,5/6/1992,5/19/1992,,11/4/1992,Released,1,Vertical,9,NA,1200,-77.74721,42.07061,-77.74721,42.07061,1201,1201,0,1201,Not Listed,,,,,1/4/2022
31-003-22197-00-00 ,Yes,Yes,No,22197,Stillman 34,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,3/30/1992,4/6/1992,5/6/1992,5/8/1992,6/24/1992,,11/6/1992,Released,1,Vertical,9,NA,1200,-77.74699,42.06966,-77.74699,42.06966,1225,1225,0,1225,Not Listed,,,,,1/4/2022
31-003-22198-00-00 ,Yes,Yes,No,22198,Stillman 36,The Richardson Petroleum Corporation,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,,3/30/1992,4/6/1992,4/29/1992,5/1/1992,6/10/1992,,10/29/1992,Released,1,Vertical,9,NA,1200,-77.74788,42.07401,-77.74788,42.07401,1200,1200,0,1200,Not Listed,,,,,1/4/2022
31-003-22202-00-00 ,Yes,Yes,No,22202,Stillman 35,The Richardson Petroleum Corporation,Oil Development,Plugged and Abandoned,Fulmer Valley,Fulmer Valley,Allegany,Independence,Rexville,D,Beech Hill-Independence,4/14/2023,3/30/1992,4/16/1992,5/8/1992,5/13/1992,6/17/1992,4/14/2023,11/8/1992,Released,1,Vertical,9,NA,1200,-77.74807,42.06954,-77.74807,42.06954,1200,1200,0,1200,Not Listed,,,,,6/6/2023
31-003-22205-00-00 ,Yes,Yes,Yes,22205,Dougherty; A 1,PPP Future Development Inc.,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Andover,Whitesville,B,Fulmer Valley,,4/30/1992,5/13/1992,6/9/1992,6/10/1992,8/5/1992,,6/9/1994,Released,1,Vertical,9,NA,1500,-77.80527,42.12323,-77.80527,42.12323,1572,1572,0,1572,Not Listed,,,,,11/20/2024
31-003-22206-00-00 ,Yes,Yes,No,22206,J. Harris 1-A,PPP Future Development Inc.,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Andover,Whitesville,C,Fulmer Valley,,4/30/1992,5/13/1992,6/2/1992,6/9/1992,7/16/1992,,12/2/1992,Released,1,Vertical,9,NA,2000,-77.781006,42.121671,-77.781006,42.121671,2051,2051,0,2051,Not Listed,,,,,11/20/2024
31-003-22210-00-00 ,No,Yes,No,22210,Dean; J 1,Otis Eastern Service Inc.,Not Listed,Expired Permit,Fulmer Valley,Not Applicable,Allegany,Andover,Andover,H,Fulmer Valley,11/20/1992,5/12/1992,5/20/1992,,,,,,Pre-1989 Well (N/A),1,Vertical,9,NA,1500,-77.79618,42.12878,-77.79618,42.12878,0,0,0,0,Not Listed,,,,,1/11/1993
31-003-22211-00-00 ,Yes,Yes,Yes,22211,Dean; J 3,PPP Future Development Inc.,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Andover,Andover,H,Fulmer Valley,,5/12/1992,5/20/1992,6/12/1992,6/26/1992,7/27/1992,,6/12/1994,Released,1,Vertical,9,NA,1500,-77.79618,42.12754,-77.79618,42.12754,1550,1550,0,1550,Not Listed,,,,,11/20/2024
31-003-22221-00-00 ,Yes,Yes,Yes,22221,Dean; H 1,PPP Future Development Inc.,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Andover,Whitesville,B,Fulmer Valley,,6/3/1992,6/10/1992,6/11/1992,6/12/1992,8/13/1992,,6/11/1994,Released,1,Vertical,9,NA,1500,-77.80741,42.12377,-77.80741,42.12377,1546,1546,0,1546,Not Listed,,,,,11/19/2024
31-003-22225-00-00 ,No,Yes,No,22225,Woodruff 1,Vandermark Exploration Inc.,Dry Hole,Plugged and Abandoned,Oriskany,Not Applicable,Allegany,Alfred,Hornell,G,Crosby Creek,10/29/1992,6/23/1992,6/30/1992,7/12/1992,7/21/1992,10/29/1992,10/29/1992,1/12/1993,Released,0,Vertical,9,NA,4450,-77.7398,42.27669,-77.7398,42.27669,4040,4040,0,4040,Not Listed,,,,,1/21/1994
31-003-22226-00-00 ,No,Yes,Yes,22226,Acton 1,Vandermark Exploration Inc.,Dry Hole,Plugged and Abandoned,Oriskany,Not Applicable,Allegany,Alfred,Alfred,I,Not Applicable,8/17/1992,6/23/1992,6/30/1992,8/13/1992,8/17/1992,8/17/1992,8/17/1992,8/13/1994,Released,0,Vertical,9,NA,4450,-77.76467,42.27785,-77.76467,42.27785,3960,3960,0,3960,Not Listed,,,,,8/31/1994
31-003-22253-00-00 ,Yes,Yes,No,22253,Austin-Bayard 59,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,9/10/1992,9/13/1992,11/20/1992,,3/10/1993,Released,1,Vertical,9,NA,1200,-77.75326,42.0784,-77.75326,42.0784,1301,1301,0,1301,Not Listed,,,,,10/14/2025
31-003-22254-00-00 ,Yes,Yes,No,22254,Austin-Bayard 60,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,9/2/1992,9/10/1992,11/7/1992,,3/2/1993,Released,1,Vertical,9,NA,1200,-77.75488,42.0784,-77.75488,42.0784,1309,1309,0,1309,Not Listed,,,,,10/14/2025
31-003-22255-00-00 ,Yes,Yes,No,22255,Austin-Bayard 51,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/11/1992,9/12/1992,9/13/1992,11/3/1992,,3/11/1993,Released,1,Vertical,9,NA,1200,-77.75265,42.07653,-77.75265,42.07653,1302,1302,0,1302,Not Listed,,,,,10/14/2025
31-003-22256-00-00 ,Yes,Yes,No,22256,Austin-Bayard 52,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,9/14/1992,9/18/1992,11/12/1992,,3/14/1993,Released,1,Vertical,9,NA,1800,-77.75344,42.07653,-77.75344,42.07653,1858,1858,0,1858,Not Listed,,,,,10/14/2025
31-003-22257-00-00 ,Yes,Yes,No,22257,Austin-Bayard 53,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/23/1992,9/24/1992,9/26/1992,11/13/1992,,3/24/1993,Released,1,Vertical,9,NA,1200,-77.75791,42.07647,-77.75791,42.07647,1282,1282,0,1282,Not Listed,,,,,10/14/2025
31-003-22258-00-00 ,Yes,Yes,No,22258,Austin-Bayard 54,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,9/29/1992,10/2/1992,11/14/1992,,3/29/1993,Released,1,Vertical,9,NA,1800,-77.75901,42.07662,-77.75901,42.07662,1853,1853,0,1853,Oil Development,,,,,10/14/2025
31-003-22259-00-00 ,Yes,Yes,No,22259,Austin-Bayard 55,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,10/4/1992,10/6/1992,11/2/1992,,4/4/1993,Released,1,Vertical,9,NA,1200,-77.76013,42.07647,-77.76013,42.07647,1281,1281,0,1281,Not Listed,,,,,10/14/2025
31-003-22260-00-00 ,Yes,Yes,No,22260,Austin-Bayard 56,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,10/7/1992,10/7/1992,11/7/1992,,4/7/1993,Released,1,Vertical,9,NA,1200,-77.76114,42.07647,-77.76114,42.07647,1282,1282,0,1282,Not Listed,,,,,10/14/2025
31-003-22261-00-00 ,Yes,Yes,No,22261,Austin-Bayard 57,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/22/1992,9/22/1992,9/24/1992,9/24/1992,,3/22/1993,Released,1,Vertical,9,NA,1200,-77.75722,42.07584,-77.75722,42.07584,1281,1281,0,1281,Not Listed,,,,,10/14/2025
31-003-22262-00-00 ,Yes,Yes,No,22262,Austin-Bayard 58,Wildcat Oil Producer LLC,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,8/17/1992,9/2/1992,10/3/1992,10/5/1992,11/16/1992,,4/3/1993,Released,1,Vertical,9,NA,1200,-77.75954,42.07577,-77.75954,42.07577,1282,1282,0,1282,Not Listed,,,,,10/14/2025
31-003-22359-00-00 ,Yes,Yes,No,22359,Perkins 1,Sam Koehler Enterprises Inc.,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Wellsville,Whitesville,A,Fulmer Valley,,2/28/1993,3/16/1993,4/5/1993,4/12/1993,4/28/1993,,10/2/1993,Released,1,Vertical,9,NA,1500,-77.84947,42.09977,-77.84947,42.09977,1500,1500,0,1500,Not Listed,,,,,4/5/2022
