API Well Number,Production Information,Formation Tops,Casing and Cementing,Hole Number,Well Name,Company Name,Well Type,Well Status,Objective Formation,Producing Formation,County,Town,Map Quadrangle,Quad Section Code,Field,Status Date,Permit Application Date,Permit Issued Date,Spud/Start Drilling Date,Total Depth Date,Well Completion Date,Plugging & Abandonment Date,Confidential Expiration Date,Confid. Period Type,Subject to Financial Security,Well Orientation,NYSDEC Region,State Lease,Proposed Total Depth,Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,True Vertical Depth,Bottom Hole Total Measured Depth,Kickoff Depth,Drilled Depth,Proposed Well Type,Spacing,Spacing Acres,Integration,Hearing Date,Last Modified Date
31-001-21007-00-00 ,Yes,Yes,Yes,21007,1,Turf Western Ave. Inc.,Geothermal,Plugged and Abandoned,NA - Geoexchange,NA - Geoexchange,Albany,Guilderland,Albany,D,Not Applicable,4/6/2016,4/24/1998,7/16/1998,9/7/1994,9/13/1994,10/27/1994,4/6/2016,,Released,1,Vertical,4,NA,1500,-73.83588,42.67931,-73.83588,42.67931,1500,1500,0,1500,Geothermal,Exempt - not an oil or gas well,,,,7/25/2017
31-001-21008-00-00 ,Yes,Yes,Yes,21008,2,Turf Western Ave. Inc.,Geothermal,Plugged and Abandoned,NA - Geoexchange,Not Applicable,Albany,Guilderland,Albany,D,Not Applicable,4/6/2016,4/4/1998,7/16/1998,9/14/1994,9/21/1994,11/1/1994,4/6/2016,,Released,1,Vertical,4,NA,1500,-73.83599,42.6792,-73.83599,42.6792,1500,1500,0,1500,Geothermal,Exempt - not an oil or gas well,,,,7/26/2017
31-001-21009-00-00 ,Yes,Yes,Yes,21009,3,Turf Western Ave. Inc.,Geothermal,Plugged and Abandoned,NA - Geoexchange,Not Applicable,Albany,Guilderland,Albany,D,Not Applicable,5/6/2016,4/24/1998,7/16/1998,9/21/1994,9/28/1994,11/4/1994,5/6/2016,,Released,1,Vertical,4,NA,1500,-73.83625,42.67925,-73.83625,42.67925,1420,1420,0,1420,Geothermal,Exempt - not an oil or gas well,,,,11/6/2019
31-001-21010-00-00 ,Yes,Yes,Yes,21010,4,Turf Western Ave. Inc.,Geothermal,Plugged and Abandoned,NA - Geoexchange,Not Applicable,Albany,Guilderland,Albany,D,Not Applicable,4/7/2016,4/24/1998,7/16/1998,9/29/1994,10/4/1994,11/9/1994,4/7/2016,,Released,1,Vertical,4,NA,1500,-73.83638,42.67931,-73.83638,42.67931,1500,1500,0,1500,Geothermal,Exempt - not an oil or gas well,,,,5/17/2016
31-001-21011-00-00 ,Yes,Yes,Yes,21011,5,Turf Western Ave. Inc.,Geothermal,Plugged and Abandoned,NA - Geoexchange,Not Applicable,Albany,Guilderland,Albany,D,Not Applicable,4/8/2016,4/24/1998,7/16/1998,10/4/1994,10/11/1994,11/14/1994,4/8/2016,,Released,1,Vertical,4,NA,1500,-73.83651,42.67938,-73.83651,42.67938,1500,1500,0,1500,Geothermal,Exempt - not an oil or gas well,,,,5/17/2016
31-003-09595-00-00 ,Yes,Yes,No,9595,Austin-Bayard 36,Wildcat Oil Producer LLC,Oil Development,Active,Upper Devonian,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,,5/2/1998,5/18/1998,6/15/1998,7/15/1998,8/1/1998,,12/15/1998,Released,1,Vertical,9,NA,1990,-77.75957,42.07985,-77.75957,42.07985,1915,1915,0,1915,Not Listed,,,,,10/14/2025
31-003-14571-00-00 ,Yes,Yes,No,14571,Whitesell A SC546,National Fuel Gas Supply Corporation,Disposal,Active,Oriskany,Oriskany,Allegany,Independence,Whitesville,B,Beech Hill,,1/4/1995,1/17/1995,12/5/1979,12/26/1979,12/26/1979,,,Pre-1989 Well (N/A),1,Vertical,9,NA,4800,-77.81721,42.08574,-77.81721,42.08574,4775,4775,0,4775,Not Listed,,,,,4/5/2017
31-003-20116-00-00 ,Yes,Yes,No,20116,NFGSC (Ryan) EC-490,National Fuel Gas Supply Corporation,Storage,Converted to other well type,Oriskany,Oriskany,Allegany,Willing,Wellsville South,H,Beech Hill,12/31/2009,9/5/1995,10/12/1995,11/11/1985,11/20/1985,10/30/1995,,,Pre-1989 Well (N/A),1,Vertical,9,NA,4950,-77.92201,42.01375,-77.92201,42.01375,4935,4935,0,4935,Not Listed,,,,,12/19/2012
31-003-21855-00-00 ,No,Yes,No,21855,Phillips; A 1,Ardent Resources Inc.,Dry Wildcat,Plugged and Abandoned,Oriskany,Not Applicable,Allegany,Genesee,Portville,E,Not Applicable,5/15/1990,3/6/1990,3/28/1990,5/7/1990,5/15/1990,5/16/1990,5/15/1990,5/7/1992,Released,0,Vertical,9,NA,4500,-78.30385,42.04255,-78.30385,42.04255,4723,4723,0,4723,Not Listed,,,,,3/30/1990
31-003-21875-00-00 ,Yes,Yes,Yes,21875,Seneca Resources (Regan) 6988,National Fuel Gas Supply Corporation,Monitoring Storage,Active,Oriskany,Oriskany,Allegany,Willing,Wellsville South,H,Beech Hill,12/31/2009,3/2/1990,5/16/1990,6/29/1990,7/10/1990,2/6/2009,,12/29/1990,Released,1,Vertical,9,NA,5000,-77.95232,42.00076,-77.95232,42.00076,4988,4988,0,4988,Not Listed,Exempt - not an oil or gas well,,,,4/26/2011
31-003-21876-00-00 ,No,Yes,No,21876,Seneca Resources 6989,Empire Exploration Inc.,Not Listed,Expired Permit,Oriskany,Not Applicable,Allegany,Willing,Wellsville South,H,Not Applicable,11/16/1990,3/2/1990,5/16/1990,,,,,,Pre-1989 Well (N/A),1,Vertical,9,NA,5000,-77.94513,42.00626,-77.94513,42.00626,0,0,0,0,Not Listed,,,,,5/18/1991
