API Well Number,Production Information,Formation Tops,Casing and Cementing,Hole Number,Well Name,Company Name,Well Type,Well Status,Objective Formation,Producing Formation,County,Town,Map Quadrangle,Quad Section Code,Field,Status Date,Permit Application Date,Permit Issued Date,Spud/Start Drilling Date,Total Depth Date,Well Completion Date,Plugging & Abandonment Date,Confidential Expiration Date,Confid. Period Type,Subject to Financial Security,Well Orientation,NYSDEC Region,State Lease,Proposed Total Depth,Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,True Vertical Depth,Bottom Hole Total Measured Depth,Kickoff Depth,Drilled Depth,Proposed Well Type,Spacing,Spacing Acres,Integration,Hearing Date,Last Modified Date
31-003-05038-00-00 ,Yes,Yes,No,5038,Fee 1,Menichino Joseph A. & Elizabeth A.,Gas Development,Plugged and Abandoned,Not Applicable,Upper Devonian Shale,Allegany,Alfred,Andover,B,Alfred,,,11/16/2016,10/28/1966,,11/14/1966,11/22/2016,,Pre-1989 Well (N/A),0,Vertical,9,NA,0,-77.80785,42.22614,-77.80785,42.22614,876,876,0,876,Not Listed,,,,,12/16/2025
31-003-18335-00-01 ,Yes,Yes,Yes,18335,Heselton 24,The Richardson Petroleum Corporation,Oil Development,Plugged and Abandoned,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,6/2/2023,6/23/2011,7/5/2011,7/10/2011,7/15/2011,7/27/2011,6/2/2023,1/10/2012,Released,1,Vertical,9,NA,1160,-77.7582,42.06195,-77.7582,42.06195,1160,1160,0,1160,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,6/6/2023
31-003-23524-00-01 ,Yes,Yes,Yes,23524,Joyce H 1,PPP Future Development Inc.,Oil Development,Inactive,Fulmer Valley,Penny & Fulmer Valley,Allegany,Andover,Andover,I,Fulmer Valley,12/31/2023,8/27/2012,9/24/2012,10/4/2012,10/4/2012,10/11/2012,,4/4/2013,Released,1,Vertical,9,NA,2000,-77.77704,42.137154,-77.77704,42.137154,1953,1953,0,1953,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
31-003-25286-00-01 ,No,Yes,Yes,25286,Dean; EF 2058 - 7451,National Fuel Gas Supply Corporation,Monitoring Miscellaneous,Active,Oriskany,Oriskany,Allegany,Willing,Whitesville,G,Beech Hill,,12/20/2012,1/4/2013,1/8/2013,1/8/2013,1/8/2013,,,Released,1,Vertical,9,NA,4878,-77.86643,42.008032,-77.86643,42.008032,4956,4956,0,4956,Storage,Conforms to statewide spacing under Title 5,160.37,No integration order required,,12/5/2025
31-003-27547-00-00 ,Yes,Yes,Yes,27547,Hess 7,PPP Future Development Inc.,Oil Development,Active,Upper Devonian,Upper Devonian,Allegany,Andover,Andover,I,Andover,,12/14/2009,1/6/2010,1/7/2010,1/13/2010,6/10/2010,,7/7/2010,Released,1,Vertical,9,NA,2000,-77.75865,42.14002,-77.75865,42.14002,2000,2000,0,2000,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
31-003-27548-00-00 ,Yes,Yes,Yes,27548,Perry 1,PPP Future Development Inc.,Oil Development,Active,Upper Devonian,Upper Devonian,Allegany,Andover,Andover,I,Andover,,12/14/2009,1/6/2010,1/25/2010,1/28/2010,6/17/2010,,7/25/2010,Released,1,Vertical,9,NA,2000,-77.75718,42.14356,-77.75718,42.14356,1803,1803,0,1803,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
31-003-27573-00-00 ,Yes,Yes,Yes,27573,Austin 23Y,Nathan Petroleum Corp. Yahn & Yahn Inc,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill,,3/9/2010,3/18/2010,4/15/2010,4/20/2010,4/30/2010,,10/15/2010,Released,1,Vertical,9,NA,1900,-77.756378,42.081989,-77.756378,42.081989,1860,1860,0,1860,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
31-003-27574-00-00 ,Yes,Yes,Yes,27574,Austin 24Y,Nathan Petroleum Corp. Yahn & Yahn Inc,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill,,3/9/2010,3/18/2010,4/6/2010,4/8/2010,4/19/2010,,10/6/2010,Released,1,Vertical,9,NA,1900,-77.756393,42.083103,-77.756393,42.083103,1855,1855,0,1855,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
31-003-27575-00-00 ,Yes,Yes,Yes,27575,Austin 25Y,Nathan Petroleum Corp. Yahn & Yahn Inc,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill,,3/9/2010,3/18/2010,4/8/2010,4/14/2010,4/23/2010,,10/8/2010,Released,1,Vertical,9,NA,1900,-77.757842,42.081931,-77.757842,42.081931,1860,1860,0,1860,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
31-003-27576-00-00 ,Yes,Yes,Yes,27576,Austin 26Y,Nathan Petroleum Corp. Yahn & Yahn Inc,Oil Development,Active,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,C,Beech Hill,,3/9/2010,3/18/2010,3/29/2010,4/1/2010,4/21/2010,,9/29/2010,Released,1,Vertical,9,NA,1900,-77.755445,42.084239,-77.755445,42.084239,1855,1855,0,1855,Oil Development,Exempt from Title 5; complies with 6 NYCRR 553.1(a),,No integration order required,,12/5/2025
