   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-14558-00-00  ,  Clancy 595  ,  Greenway Energy LLC  ,1999,0.00,1718.00,55.00,12, GD , 
   31-013-13256-00-00  ,  Clark 1  ,  PPP Future Development Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-011-21252-00-00  ,  Clark 1012-1  ,  A.D.C.O. Well Services Inc.  ,1999,0.00,362.00,0.00,12, GD , 
   31-011-21266-00-00  ,  Clark 1025-1  ,  Greenway Energy LLC  ,1999,0.00,1743.00,0.00,12, GD , 
   31-011-21306-00-00  ,  Clark 1157-2  ,  Greenway Energy LLC  ,1999,0.00,7616.00,272.00,12, GD , 
   31-051-17503-00-00  ,  Clark 238  ,  PXG Energy LLC  ,1999,0.00,1516.00,70.00,12, GD , 
   31-013-12276-00-00  ,  Clark 458  ,  Greenway Energy LLC  ,1999,0.00,815.00,9.00,11, GD , 
   31-029-11975-00-00  ,  Clark N1499  ,  PPP Future Development Inc.  ,1999,0.00,751.00,0.00,12, GD , 
   31-013-17626-00-00  ,  Clark; A 1  ,  PPP Future Development Inc.  ,1999,0.00,3116.00,3.00,12, GD , 
   31-037-20642-00-00  ,  Clark; E & B 1  ,  United States Gypsum Company  ,1999,0.00,315.00,0.00,12, GD , 
   31-013-18252-00-00  ,  Clark; R 2  ,  Greenway Energy LLC  ,1999,0.00,1615.00,0.00,12, GD , 
   31-037-15881-00-00  ,  Clarke 1  ,  United States Gypsum Company  ,1999,0.00,1679.00,20.00,12, GD , 
   31-013-12747-00-00  ,  Clarke; C 1  ,  Greenway Energy LLC  ,1999,0.00,1188.00,0.00,12, GD , 
   31-013-12743-00-00  ,  Clarke; J 1  ,  Greenway Energy LLC  ,1999,0.00,1188.00,0.00,12, GD , 
   31-013-20925-00-00  ,  Claypoole 1  ,  Greenway Energy LLC  ,1999,0.00,2523.00,0.00,12, GD , 
   31-013-20926-00-00  ,  Claypoole 2  ,  Greenway Energy LLC  ,1999,0.00,48.00,0.00,12, GD , 
   31-013-19214-00-00  ,  Clear Creek 1  ,  PPP Future Development Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-099-20431-00-00  ,  Clemens 1 (4171)  ,  Greenway Energy LLC  ,1999,0.00,4213.00,0.00,12, GD , 
   31-099-20707-00-00  ,  Clemens 991-2  ,  Greenway Energy LLC  ,1999,0.00,1704.00,0.00,12, GD , 
   31-013-17770-00-00  ,  Clemente 2  ,  PPP Future Development Inc.  ,1999,0.00,382.00,0.00,12, GD , 
   31-013-15751-00-00  ,  Clemente NY 28  ,  PPP Future Development Inc.  ,1999,0.00,408.00,0.00,12, GD , 
   31-037-20597-00-00  ,  Cleveland; L. 1  ,  United States Gypsum Company  ,1999,0.00,207.00,0.00,9, GD , 
   31-013-10534-00-00  ,  Cliffstar (Polvino) 2  ,  Greenway Energy LLC  ,1999,0.00,1190.00,9.00,12, GD , 
   31-013-10958-00-00  ,  Cliffstar-Gatto 1  ,  Greenway Energy LLC  ,1999,0.00,1203.00,4.00,12, GD , 
   31-013-10527-00-00  ,  Cliffstar-Leone 1135  ,  Greenway Energy LLC  ,1999,0.00,1695.00,37.00,8, GD , 
   31-013-10660-00-00  ,  Cliffstar-Stanton 1  ,  Greenway Energy LLC  ,1999,0.00,1129.00,30.00,7, GD , 
   31-003-21781-00-00  ,  Cline & Hale 1  ,  PPP Future Development Inc.  ,1999,0.00,29460.00,10.00,0, GD , 
   31-003-21778-00-00  ,  Cline & Hale 2  ,  PPP Future Development Inc.  ,1999,0.00,13730.00,370.00,12, GD , 
   31-029-19999-00-00  ,  Closs 1  ,  Weil Resources Inc.  ,1999,0.00,2921.00,0.00,12, GD , 
   31-029-20838-00-00  ,  Closs 2  ,  Weil Resources Inc.  ,1999,0.00,2449.00,0.00,12, GD , 
   31-013-11882-00-00  ,  Clough 405  ,  Greenway Energy LLC  ,1999,0.00,1314.00,8.00,12, GD , 
   31-013-15180-00-00  ,  Cloverbank 1  ,  Greenway Energy LLC  ,1999,0.00,2701.00,0.00,12, GD , 
   31-013-14549-00-00  ,  Clute 586  ,  Greenway Energy LLC  ,1999,0.00,1328.00,52.00,12, GD , 
   31-107-22821-00-00  ,  CNYOG 1  ,  Stagecoach Pipeline & Storage Company LLC  ,1999,0.00,0.00,0.00,0,Not Listed, 
   31-107-22820-00-00  ,  CNYOG 2  ,  Stagecoach Pipeline & Storage Company LLC  ,1999,0.00,0.00,0.00,0,Not Listed, 
   31-003-66422-00-00  ,  Coats 2164-I  ,  National Fuel Gas Supply Corporation  ,1999,0.00,0.00,0.00,0, GD , 
