   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-003-67493-00-00  ,  Sloan 25  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67494-00-00  ,  Sloan 26  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67495-00-00  ,  Sloan 27  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67496-00-00  ,  Sloan 28  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67497-00-00  ,  Sloan 29  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67482-00-00  ,  Sloan 3  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67498-00-00  ,  Sloan 30  ,  Sturdevant Walter B.  ,2009,18.00,,60.00,12,Oil Development, 
   31-003-67499-00-00  ,  Sloan 31  ,  Sturdevant Walter B.  ,2009,28.00,,80.00,12,Oil Development, 
   31-003-67500-00-00  ,  Sloan 32  ,  Sturdevant Walter B.  ,2009,28.00,,80.00,12,Oil Development, 
   31-003-67501-00-00  ,  Sloan 33  ,  Sturdevant Walter B.  ,2009,28.00,,80.00,12,Oil Development, 
   31-003-67502-00-00  ,  Sloan 34  ,  Sturdevant Walter B.  ,2009,42.00,,160.00,12,Oil Development, 
   31-003-67503-00-00  ,  Sloan 36  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67483-00-00  ,  Sloan 4  ,  Sturdevant Walter B.  ,2009,16.00,,180.00,12,Oil Development, 
   31-003-67484-00-00  ,  Sloan 6  ,  Sturdevant Walter B.  ,2009,10.00,,300.00,12,Oil Development, 
   31-003-67485-00-00  ,  Sloan 8  ,  Sturdevant Walter B.  ,2009,60.00,,280.00,12,Oil Development, 
   31-003-67486-00-00  ,  Sloan 9  ,  Sturdevant Walter B.  ,2009,56.00,,256.00,12,Oil Development, 
   31-003-67505-00-00  ,  Sloan w10  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-67506-00-00  ,  Sloan w11  ,  Sturdevant Walter B.  ,2009,0.00,0.00,0.00,0,Oil Development, 
