   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-12386-00-00  ,  Cardot 477  ,  PPP Future Development Inc.  ,1991,0.00,818.00,29.00,12, GD , 
   31-013-12388-00-00  ,  Cardot 480  ,  Greenway Energy LLC  ,1991,0.00,432.00,61.00,3, GD , 
   31-013-12390-00-00  ,  Cardot 482  ,  Belden & Blake Corporation  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-10972-00-00  ,  Cardot Alfred 1  ,  Greenway Energy LLC  ,1991,0.00,374.00,0.00,5, GD , 
   31-037-10421-00-00  ,  Carey 1  ,  United States Gypsum Company  ,1991,0.00,1029.00,0.00,12, GD , 
   31-013-18439-00-00  ,  Carey 714  ,  Greenway Energy LLC  ,1991,0.00,1044.00,90.00,11, GD , 
   31-009-19725-00-00  ,  Carey R. Grover 2  ,  Stedman Energy Inc.  ,1991,0.00,1227.00,14.00,12, GD , 
   31-013-17702-00-00  ,  Carey; C 1  ,  N.E.A. Cross of N.Y. Inc.  ,1991,0.00,59.00,0.00,2, GD , 
   31-013-17654-00-00  ,  Carey; C 4  ,  Hostetler Andrew E.  ,1991,0.00,267.00,7.00,6, GD , 
   31-013-10145-00-00  ,  Carlson 1  ,  Greenway Energy LLC  ,1991,0.00,1956.00,0.00,9, GD , 
   31-013-19200-00-00  ,  Carlson 1b  ,  PPP Future Development Inc.  ,1991,0.00,5037.00,696.00,12, GD , 
   31-013-14821-00-00  ,  Carlson; C 1  ,  Greenway Energy LLC  ,1991,0.00,168.00,25.00,1, GD , 
   31-013-16613-00-00  ,  Carlson; E 1  ,  Greenway Energy LLC  ,1991,0.00,5375.00,7.00,12, GD , 
   31-013-16889-00-00  ,  Carlson; E. 1  ,  Bounty Group Inc.  ,1991,0.00,107.00,0.00,0, GD , 
   31-013-19898-00-00  ,  Carlson; L 1  ,  Greenway Energy LLC  ,1991,0.00,6526.00,0.00,12, GD , 
   31-013-20180-00-00  ,  Carlson; L 4  ,  Greenway Energy LLC  ,1991,0.00,2214.00,0.00,12, GD , 
   31-013-18109-00-00  ,  Carlson; O 1  ,  PPP Future Development Inc.  ,1991,0.00,220.00,0.00,8, GD , 
   31-013-14264-00-00  ,  Carlson; P 2 Ae-117  ,  PPP Future Development Inc.  ,1991,0.00,2765.00,0.00,0, GD , 
   31-013-15403-00-00  ,  Carlson; P 2 Ae-174  ,  PPP Future Development Inc.  ,1991,0.00,3330.00,0.00,0, GD , 
   31-013-14382-00-00  ,  Carlson; W 6654  ,  Greenway Energy LLC  ,1991,0.00,1958.00,0.00,12, GD , 
   31-013-16461-00-00  ,  Carlson-Ticknor 1  ,  PPP Future Development Inc.  ,1991,0.00,5164.00,356.00,12, GD , 
   31-037-04110-00-00  ,  Carmichael 1  ,  Coots Jesse  ,1991,0.00,2278.00,125.00,12, GD , 
   31-051-17319-00-00  ,  Carney 139  ,  PXG Energy LLC  ,1991,0.00,3717.00,200.00,12, GD , 
   31-037-13989-00-00  ,  Carney 36  ,  PXG Energy LLC  ,1991,0.00,4049.00,305.00,12, GD , 
   31-013-12433-00-00  ,  Carpenter 1  ,  PPP Future Development Inc.  ,1991,0.00,1717.00,87.00,12, GD , 
   31-013-11862-00-00  ,  Carpenter 2  ,  PPP Future Development Inc.  ,1991,0.00,5342.00,271.00,12, GD , 
   31-013-18053-00-00  ,  Carpenter 3  ,  PPP Future Development Inc.  ,1991,0.00,269.00,0.00,8, GD , 
   31-013-18378-00-00  ,  Carpenter 4  ,  PPP Future Development Inc.  ,1991,0.00,2415.00,0.00,8, GD , 
   31-013-18519-00-00  ,  Carpenter 5  ,  PPP Future Development Inc.  ,1991,0.00,3597.00,0.00,8, GD , 
   31-013-12122-00-00  ,  Carpenter; B 3  ,  PPP Future Development Inc.  ,1991,0.00,3413.00,173.00,12, GD , 
   31-029-18721-00-00  ,  Carr 1  ,  Greenway Energy LLC  ,1991,0.00,1780.00,0.00,12, GD , 
   31-013-18344-00-00  ,  Carr 1b  ,  PPP Future Development Inc.  ,1991,0.00,5685.00,786.00,12, GD , 
   31-013-17671-00-00  ,  Carr 2  ,  PPP Future Development Inc.  ,1991,0.00,4065.00,281.00,12, GD , 
   31-029-18720-00-00  ,  Carr 3  ,  Greenway Energy LLC  ,1991,0.00,2138.00,0.00,12, GD , 
   31-013-20037-00-00  ,  Carr 4-B  ,  PPP Future Development Inc.  ,1991,0.00,830.00,115.00,12, GD , 
   31-011-20632-00-00  ,  Carr; Bruce 1038-1  ,  Wilde Henry & Janet  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-15687-00-00  ,  Carriero 1  ,  Carriero Pamela A.  ,1991,0.00,1647.00,0.00,10, GD , 
   31-013-10345-00-00  ,  Carris Gerald 32  ,  Greenway Energy LLC  ,1991,0.00,1019.00,16.00,12, GD , 
