   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-19785-00-00  ,  Chautauqua County 7  ,  Chautauqua County Division of Solid Waste  ,1988,0.00,5113.00,55.00,12, GD , 
   31-013-19814-00-00  ,  Chautauqua County 8  ,  PPP Future Development Inc.  ,1988,0.00,1968.00,1230.00,9, OD , 
   31-029-19715-00-00  ,  Cheman 1  ,  Stedman Energy Inc.  ,1988,0.00,7583.00,0.00,0, GD , 
   31-013-15772-00-00  ,  Cheney 1  ,  PPP Future Development Inc.  ,1988,0.00,1894.00,0.00,5, GD , 
   31-013-19108-00-00  ,  Cheney Unit 1  ,  Shelex Drilling Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-19107-00-00  ,  Cheney Unit 2  ,  Shelex Drilling Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-11783-00-00  ,  Cherry 1279  ,  Greenway Energy LLC  ,1988,0.00,2001.00,46.00,11, GD , 
   31-013-11805-00-00  ,  Cherry 1280  ,  Greenway Energy LLC  ,1988,0.00,3040.00,18.00,11, GD , 
   31-013-18096-00-00  ,  Chester 1  ,  PPP Future Development Inc.  ,1988,0.00,40050.00,0.00,10, GD , 
   31-029-19892-00-00  ,  Chiavetta 1  ,  Stedman Energy Inc.  ,1988,0.00,5982.00,50.00,12, GD , 
   31-029-19875-00-00  ,  Chiavetta 2  ,  Stedman Energy Inc.  ,1988,0.00,2258.00,100.00,12,Not Listed, 
   31-029-20002-00-00  ,  Chiavetta 3  ,  Stedman Energy Inc.  ,1988,0.00,8829.00,100.00,12, GD , 
   31-029-20001-00-00  ,  Chiavetta 4  ,  Stedman Energy Inc.  ,1988,0.00,2814.00,100.00,12, GD , 
   31-013-11505-00-00  ,  Chilcott 365  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-15466-00-00  ,  Chilcott 826  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,723.00,0.00,7, GD , 
   31-013-18686-00-00  ,  Chipman; V 1  ,  Greenway Energy LLC  ,1988,0.00,13654.00,25.00,12, GD , 
   31-009-17268-00-00  ,  Chipmunk 1  ,  Hydrocarbon Generation Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-19834-00-00  ,  Choate/Smith 1  ,  PPP Future Development Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-19769-00-00  ,  Choate/Smith 2  ,  PPP Future Development Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-19770-00-00  ,  Choate/Smith 4  ,  PPP Future Development Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-13697-00-00  ,  Christ The King Seminary 1  ,  World Mission Society Church of God  ,1988,0.00,10.00,0.00,12, GD , 
   31-029-18403-00-00  ,  Christ The King Seminary 2  ,  World Mission Society Church of God  ,1988,0.00,1.00,0.00,12, GD , 
   31-099-04600-00-00  ,  Christensen 1  ,  Mumford Catherine  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-19169-00-00  ,  Christensen; I 1  ,  Greenway Energy LLC  ,1988,0.00,14002.00,0.00,12, GD , 
   31-013-12268-00-00  ,  Christian 1354  ,  Greenway Energy LLC  ,1988,0.00,1138.00,0.00,10, GD , 
   31-009-18647-00-00  ,  Christian; D 1  ,  Greenway Energy LLC  ,1988,0.00,5206.00,0.00,12, GD , 
   31-013-17933-00-00  ,  Christopherson 1  ,  PPP Future Development Inc.  ,1988,0.00,3801.00,0.00,12, GD , 
   31-013-11469-00-00  ,  Christy 1222a  ,  Greenway Energy LLC  ,1988,0.00,1937.00,10.00,12, GD , 
