   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-029-18665-00-00  ,  A Mammoser 3  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,716.00,0.00,8,Not Listed, 
   31-009-17835-00-00  ,  A Rote 1  ,  Greenway Energy LLC  ,1987,0.00,2030.00,0.00,10,Not Listed, 
   31-009-17888-00-00  ,  A Schlegel 1  ,  Greenway Energy LLC  ,1987,0.00,20273.00,0.00,10,Not Listed, 
   31-029-20032-00-00  ,  A. Domin 1  ,  Stedman Energy Inc.  ,1987,0.00,1989.00,0.00,5,Not Listed, 
   31-029-15591-00-00  ,  A. Eldridge 1  ,  Stedman Energy Inc.  ,1987,0.00,1399.00,0.00,4,Not Listed, 
   31-013-19806-00-00  ,  A. Gage 1  ,  Gage Charles J.  ,1987,0.00,1123.00,0.00,12,Not Listed, 
   31-029-19890-00-00  ,  Abagnale 1  ,  Stedman Energy Inc.  ,1987,0.00,815.00,0.00,4,Not Listed, 
   31-013-18241-00-00  ,  Abbey 1  ,  PPP Future Development Inc.  ,1987,0.00,10124.00,0.00,7,Not Listed, 
   31-051-17439-00-00  ,  Abbey 1 (193)  ,  Lenape Resources Corp. The  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-18216-00-00  ,  Abbey 2  ,  PPP Future Development Inc.  ,1987,0.00,0.00,0.00,3,Not Listed, 
   31-013-18215-00-00  ,  Abbey 3  ,  PPP Future Development Inc.  ,1987,0.00,480.00,0.00,7,Not Listed, 
   31-013-18217-00-00  ,  Abbey 4  ,  PPP Future Development Inc.  ,1987,0.00,198.00,0.00,7,Not Listed, 
   31-009-18186-00-00  ,  Abbey 6271  ,  Abbey Kevin R.  ,1987,0.00,2596.00,54.00,12,Not Listed, 
   31-013-18844-00-00  ,  Abbey-Tutton Unit 1  ,  Stedman Energy Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-18845-00-00  ,  Abbey-Tutton Unit 2  ,  Stedman Energy Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-10757-00-00  ,  Abbot 1 (138)  ,  Greenway Energy LLC  ,1987,0.00,1781.00,0.00,2,Not Listed, 
   31-013-20406-00-00  ,  ABC Paving 1  ,  Chautauqua Energy Inc.  ,1987,0.00,10917.00,90.00,10,Not Listed, 
   31-013-11794-00-00  ,  Abram 1  ,  Ronald P. Lehman d/b/a Medina Pipe & Line Company  ,1987,0.00,2038.00,0.00,12,Not Listed, 
   31-013-11033-00-00  ,  Abram; J 1 (85)  ,  Greenway Energy LLC  ,1987,0.00,2974.00,0.00,12,Not Listed, 
   31-037-15883-00-00  ,  Abrams 1  ,  United States Gypsum Company  ,1987,0.00,249.00,50.00,8,Not Listed, 
   31-037-61539-00-00  ,  Acker 1  ,  Rochester Gas and Electric Corporation  ,1987,0.00,0.00,0.00,12,Not Listed, 
   31-009-17241-00-00  ,  Ackley 1  ,  Chase Ronald E. II  ,1987,0.00,309.00,0.00,12,Not Listed, 
   31-009-13372-00-00  ,  Ackley 1705-I  ,  Seneca Resources Corporation  ,1987,0.00,2384.00,0.00,12,Not Listed, 
   31-013-15580-00-00  ,  Ackley 2  ,  PPP Future Development Inc.  ,1987,0.00,2972.00,0.00,7,Not Listed, 
   31-009-17254-00-00  ,  Ackley 2 0232  ,  Empire Exploration Inc.  ,1987,0.00,1118.00,0.00,12,Not Listed, 
   31-009-17764-00-00  ,  Ackley H 1  ,  Greenway Energy LLC  ,1987,0.00,4699.00,0.00,10,Not Listed, 
   31-029-06926-00-00  ,  Acme Shale Brick Co 1  ,  Operating Engineers Local 17 Training Fund  ,1987,0.00,4796.00,0.00,12,Not Listed, 
   31-029-07261-00-00  ,  Acme Shale Brick Co 2  ,  Operating Engineers Local 17 Training Fund  ,1987,0.00,4796.00,0.00,12,Not Listed, 
   31-029-07268-00-00  ,  Acme Shale Brick Co 3  ,  Operating Engineers Local 17 Training Fund  ,1987,0.00,1496.00,0.00,12,Not Listed, 
   31-013-17728-00-00  ,  Acorn; T 1  ,  N.E.A. Cross of N.Y. Inc.  ,1987,0.00,877.00,20.00,10,Not Listed, 
   31-029-15009-00-00  ,  Acsd 2  ,  Akron Central School District  ,1987,0.00,8934.00,0.00,10,Not Listed, 
   31-029-13701-00-00  ,  Acsd Fee 1  ,  Akron Central School District  ,1987,0.00,8934.00,0.00,10,Not Listed, 
   31-029-18755-00-00  ,  Acsd Fee 3  ,  Akron Central School District  ,1987,0.00,8934.00,0.00,10,Not Listed, 
   31-013-60323-00-00  ,  Adamczak(Smith)1841-I  ,  Greenway Energy LLC  ,1987,0.00,9063.00,52.00,12,Not Listed, 
   31-003-60365-00-00  ,  Adams (Meade) 2134  ,  Alma Gas Company Inc.  ,1987,0.00,699.00,0.00,11,Not Listed, 
   31-013-18990-00-00  ,  Adams 1  ,  Kastle Resources Enterprises Inc.  ,1987,0.00,0.00,0.00,0,Not Listed, 
